"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
3.104406600E-2;-6.319600105E0;1.123619938E1;-4.510339737E1;4.690955101E1
4.104406600E-2;-1.244400024E0;8.747400284E0;-4.890979767E1;4.970144717E1
5.104406600E-2;-1.244400024E0;8.771800041E0;-4.883659744E1;4.963372097E1
6.104406600E-2;-1.207800031E0;8.771800041E0;-4.908060074E1;4.987292478E1
7.104406600E-2;-1.110199928E0;8.845000267E0;-4.932460022E1;5.012367465E1
8.104406600E-2;-1.036999941E0;8.930399895E0;-4.943439865E1;5.024527024E1
9.104406600E-2;-9.882000089E-1;8.942600250E0;-4.945879745E1;5.027046135E1
1.010440660E-1;-1.000399947E0;8.930399895E0;-4.945879745E1;5.026853378E1
1.110440660E-1;-9.393999577E-1;8.954799652E0;-4.951979828E1;5.033171297E1
1.210440660E-1;-9.393999577E-1;9.027999878E0;-4.958079910E1;5.040479038E1
1.310440660E-1;-9.027999640E-1;9.064599991E0;-4.955640030E1;5.038669300E1
1.410440660E-1;-8.173999786E-1;9.076799393E0;-4.951979828E1;5.035143346E1
1.510440660E-1;-8.417999744E-1;9.027999878E0;-4.931240082E1;5.013906943E1
1.610440660E-1;-9.149999619E-1;8.954799652E0;-4.899519730E1;4.981520872E1
1.710440660E-1;-1.024799943E0;8.930399895E0;-4.882439804E1;4.964498062E1
1.810440660E-1;-1.049199939E0;8.918199539E0;-4.881219864E1;4.963129899E1
1.910440660E-1;-1.158999920E0;8.845000267E0;-4.864139938E1;4.945263435E1
2.010440660E-1;-1.195600033E0;8.747400284E0;-4.862919998E1;4.942413947E1
2.110440660E-1;-1.158999920E0;8.771800041E0;-4.879999924E1;4.959564177E1
2.210440660E-1;-1.244400024E0;8.771800041E0;-4.879999924E1;4.959771096E1
2.310440660E-1;-1.281000018E0;8.747400284E0;-4.889759827E1;4.969037220E1
2.410440660E-1;-1.244400024E0;8.722999573E0;-4.911719894E1;4.990128741E1
2.510440660E-1;-1.220000029E0;8.735199928E0;-4.919039917E1;4.997486857E1
2.610440660E-1;-1.256600022E0;8.747400284E0;-4.911719894E1;4.990586426E1
2.710440660E-1;-1.329800010E0;8.845000267E0;-4.921479797E1;5.002098297E1
2.810440660E-1;-1.317600012E0;8.906000137E0;-4.922699738E1;5.004348288E1
2.910440660E-1;-1.488399982E0;8.881599426E0;-4.910499954E1;4.992393337E1
3.010440660E-1;-1.537199974E0;8.918199539E0;-4.894639969E1;4.977597120E1
3.110440660E-1;-1.549399972E0;8.967000008E0;-4.883659744E1;4.967716758E1
3.210440660E-1;-1.610399961E0;8.991399765E0;-4.865359879E1;4.950364969E1
3.310440660E-1;-1.610399961E0;9.052399635E0;-4.871459961E1;4.957470668E1
3.410440660E-1;-1.622599959E0;9.064599991E0;-4.867799759E1;4.954136911E1
3.510440660E-1;-1.451799989E0;9.101200104E0;-4.881219864E1;4.967464446E1
3.610440660E-1;-1.329800010E0;9.088999748E0;-4.892200089E1;4.977690685E1
3.710440660E-1;-1.146799922E0;8.979199409E0;-4.897079849E1;4.980040439E1
3.810440660E-1;-1.085799932E0;8.893799782E0;-4.899519730E1;4.980771019E1
3.910440660E-1;-1.061399937E0;8.869400024E0;-4.899519730E1;4.980283310E1
4.010440660E-1;-9.882000089E-1;8.869400024E0;-4.906839752E1;4.987334390E1
4.110440660E-1;-9.759999514E-1;8.820599556E0;-4.892200089E1;4.972039544E1
4.210440660E-1;-9.027999640E-1;8.808400154E0;-4.886100006E1;4.965682519E1
4.310440660E-1;-8.783999681E-1;8.747400284E0;-4.870240021E1;4.948951792E1
4.410440660E-1;-9.393999577E-1;8.735199928E0;-4.855599976E1;4.934441511E1
4.510440660E-1;-1.036999941E0;8.820599556E0;-4.844619751E1;4.925355214E1
4.610440660E-1;-1.097999930E0;8.869400024E0;-4.844619751E1;4.926363683E1
4.710440660E-1;-1.122399926E0;8.869400024E0;-4.844619751E1;4.926418670E1
4.810440660E-1;-1.171200037E0;8.845000267E0;-4.840959930E1;4.922494331E1
4.910440660E-1;-1.134599924E0;8.832799911E0;-4.853160095E1;4.934188852E1
5.010440660E-1;-1.085799932E0;8.869400024E0;-4.866579819E1;4.947934045E1
5.110440660E-1;-1.134599924E0;8.869400024E0;-4.875119781E1;4.956443142E1
