"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
7.668444470E-1;-1.158999920E0;8.234999657E0;-4.888539886E1;4.958770737E1
7.768444470E-1;-1.207800031E0;8.259399414E0;-4.886100006E1;4.956887921E1
7.868444470E-1;-1.256600022E0;8.295999527E0;-4.889759827E1;4.961227437E1
7.968444470E-1;-1.281000018E0;8.381400108E0;-4.892200089E1;4.965129404E1
8.068444470E-1;-1.354200006E0;8.466799736E0;-4.887319946E1;4.961965519E1
8.168444470E-1;-1.415199995E0;8.418000221E0;-4.881219864E1;4.955296414E1
8.268444470E-1;-1.463999987E0;8.479000092E0;-4.877560043E1;4.952873849E1
8.368444470E-1;-1.463999987E0;8.491199493E0;-4.883659744E1;4.959089649E1
8.468444470E-1;-1.415199995E0;8.491199493E0;-4.893420029E1;4.968560373E1
8.568444470E-1;-1.415199995E0;8.442399979E0;-4.887319946E1;4.961719998E1
8.668444470E-1;-1.451799989E0;8.405799866E0;-4.871459961E1;4.945581270E1
8.768444470E-1;-1.598199964E0;8.283800125E0;-4.842179871E1;4.915125815E1
8.868444470E-1;-1.598199964E0;8.234999657E0;-4.827539825E1;4.899881161E1
8.968444470E-1;-1.610399961E0;8.283800125E0;-4.817779922E1;4.891129799E1
9.068444470E-1;-1.549399972E0;8.283800125E0;-4.820219803E1;4.893336162E1
9.168444470E-1;-1.500599980E0;8.283800125E0;-4.827539825E1;4.900395108E1
9.268444470E-1;-1.451799989E0;8.283800125E0;-4.831200027E1;4.903854034E1
9.368444470E-1;-1.402999997E0;8.320400238E0;-4.837299728E1;4.910340452E1
9.468444470E-1;-1.402999997E0;8.381400108E0;-4.832419968E1;4.906571666E1
9.568444470E-1;-1.366400003E0;8.466799736E0;-4.843399811E1;4.918745693E1
9.668444470E-1;-1.476199985E0;8.479000092E0;-4.856819916E1;4.932486775E1
9.768444470E-1;-1.342000008E0;8.442399979E0;-4.869020081E1;4.943491414E1
9.868444470E-1;-1.195600033E0;8.430199623E0;-4.890979767E1;4.964540294E1
9.968444470E-1;-1.183400035E0;8.442399979E0;-4.888539886E1;4.962314757E1
1.006844447E0;-1.232200027E0;8.430199623E0;-4.882439804E1;4.956216729E1
1.016844447E0;-1.317600012E0;8.430199623E0;-4.886100006E1;4.960041998E1
1.026844447E0;-1.329800010E0;8.393599510E0;-4.905619812E1;4.978686026E1
1.036844447E0;-1.305400014E0;8.393599510E0;-4.925139999E1;4.997856524E1
1.046844447E0;-1.171200037E0;8.393599510E0;-4.939780045E1;5.011952625E1
1.056844447E0;-1.158999920E0;8.418000221E0;-4.951979828E1;5.024357103E1
1.066844447E0;-1.293200016E0;8.393599510E0;-4.940999985E1;5.013454861E1
1.076844447E0;-1.451799989E0;8.332599640E0;-4.934899902E1;5.006858940E1
1.086844447E0;-1.512799978E0;8.320400238E0;-4.934899902E1;5.006836655E1
1.096844447E0;-1.427399993E0;8.271599770E0;-4.942219925E1;5.012993728E1
1.106844447E0;-1.415199995E0;8.308199883E0;-4.934899902E1;5.006348650E1
1.116844447E0;-1.439599991E0;8.247200012E0;-4.916600037E1;4.987368392E1
1.126844447E0;-1.537199974E0;8.198399544E0;-4.899519730E1;4.970016194E1
1.136844447E0;-1.622599959E0;8.173999786E0;-4.888539886E1;4.959061731E1
1.146844447E0;-1.622599959E0;8.234999657E0;-4.876339722E1;4.948047047E1
1.156844447E0;-1.573799968E0;8.308199883E0;-4.878779984E1;4.951517388E1
1.166844447E0;-1.476199985E0;8.344799995E0;-4.890979767E1;4.963852497E1
1.176844447E0;-1.451799989E0;8.405799866E0;-4.878779984E1;4.952791745E1
1.186844447E0;-1.549399972E0;8.405799866E0;-4.864139938E1;4.938667680E1
1.196844447E0;-1.537199974E0;8.442399979E0;-4.869020081E1;4.944059825E1
1.206844447E0;-1.524999976E0;8.454599380E0;-4.869020081E1;4.944230506E1
1.216844447E0;-1.537199974E0;8.491199493E0;-4.862919998E1;4.938889089E1
1.226844447E0;-1.549399972E0;8.454599380E0;-4.872679901E1;4.947910501E1
1.236844447E0;-1.476199985E0;8.418000221E0;-4.876339722E1;4.950667432E1
1.246844447E0;-1.476199985E0;8.381400108E0;-4.871459961E1;4.945239377E1
1.256844447E0;-1.500599980E0;8.369199753E0;-4.883659744E1;4.957124726E1
1.266844447E0;-1.402999997E0;8.356999397E0;-4.905619812E1;4.978271208E1
1.276844447E0;-1.305400014E0;8.356999397E0;-4.919039917E1;4.991231189E1
1.286844447E0;-1.317600012E0;8.369199753E0;-4.930019760E1;5.002288534E1
1.296844447E0;-1.342000008E0;8.381400108E0;-4.925139999E1;4.997748726E1
1.306844447E0;-1.293200016E0;8.405799866E0;-4.923920059E1;4.996827706E1
1.316844447E0;-1.402999997E0;8.405799866E0;-4.911719894E1;4.985102920E1
1.326844447E0;-1.463999987E0;8.405799866E0;-4.899519730E1;4.973258615E1
1.336844447E0;-1.500599980E0;8.381400108E0;-4.887319946E1;4.960936700E1
1.346844447E0;-1.561599970E0;8.381400108E0;-4.876339722E1;4.950308445E1
1.356844447E0;-1.744599938E0;8.356999397E0;-4.861700058E1;4.936087330E1
1.366844447E0;-1.744599938E0;8.344799995E0;-4.849499893E1;4.923864577E1
1.376844447E0;-1.744599938E0;8.344799995E0;-4.856819916E1;4.931074209E1
1.386844447E0;-1.793399930E0;8.369199753E0;-4.858039856E1;4.932864190E1
1.396844447E0;-1.744599938E0;8.405799866E0;-4.859259796E1;4.934512820E1
1.406844447E0;-1.720199943E0;8.479000092E0;-4.866579819E1;4.942886246E1
1.416844447E0;-1.720199943E0;8.552199364E0;-4.875119781E1;4.952553372E1
1.426844447E0;-1.659199953E0;8.613200188E0;-4.873899841E1;4.952201660E1
1.436844447E0;-1.598199964E0;8.637599945E0;-4.879999924E1;4.958429491E1
1.446844447E0;-1.659199953E0;8.613200188E0;-4.884880066E1;4.963008652E1
1.456844447E0;-1.646999955E0;8.613200188E0;-4.882439804E1;4.960566168E1
1.466844447E0;-1.622599959E0;8.576600075E0;-4.881219864E1;4.958650659E1
1.476844447E0;-1.610399961E0;8.539999962E0;-4.893420029E1;4.969990890E1
1.486844447E0;-1.622599959E0;8.491199493E0;-4.895859909E1;4.971597052E1
1.496844447E0;-1.671399951E0;8.442399979E0;-4.888539886E1;4.963718281E1
1.506844447E0;-1.720199943E0;8.381400108E0;-4.887319946E1;4.961649505E1
1.516844447E0;-1.720199943E0;8.405799866E0;-4.887319946E1;4.962062258E1
1.526844447E0;-1.659199953E0;8.430199623E0;-4.881219864E1;4.956260633E1
1.536844447E0;-1.622599959E0;8.491199493E0;-4.888539886E1;4.964388705E1
1.546844447E0;-1.683599949E0;8.466799736E0;-4.881219864E1;4.956966757E1
1.556844447E0;-1.695799947E0;8.430199623E0;-4.882439804E1;4.957585952E1
1.566844447E0;-1.732399940E0;8.454599380E0;-4.877560043E1;4.953322782E1
1.576844447E0;-1.768999934E0;8.454599380E0;-4.881219864E1;4.957055928E1
1.586844447E0;-1.781199932E0;8.454599380E0;-4.878779984E1;4.954697101E1
1.596844447E0;-1.756799936E0;8.430199623E0;-4.884880066E1;4.960201546E1
1.606844447E0;-1.768999934E0;8.454599380E0;-4.888539886E1;4.964264128E1
1.616844447E0;-1.732399940E0;8.344799995E0;-4.886100006E1;4.959873208E1
1.626844447E0;-1.671399951E0;8.332599640E0;-4.883659744E1;4.957054614E1
1.636844447E0;-1.646999955E0;8.332599640E0;-4.876339722E1;4.949761341E1
1.646844447E0;-1.598199964E0;8.320400238E0;-4.876339722E1;4.949396136E1
1.656844447E0;-1.573799968E0;8.369199753E0;-4.871459961E1;4.945333726E1
1.666844447E0;-1.561599970E0;8.344799995E0;-4.872679901E1;4.946084536E1
1.676844447E0;-1.622599959E0;8.295999527E0;-4.859259796E1;4.932237844E1
1.686844447E0;-1.646999955E0;8.247200012E0;-4.864139938E1;4.936308996E1
1.696844447E0;-1.732399940E0;8.259399414E0;-4.858039856E1;4.930795080E1
1.706844447E0;-1.707999945E0;8.295999527E0;-4.876339722E1;4.949353271E1
