"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1708004737.332;"2024-02-15 14:45:37.332 UTC+01:00"
"PAUSE";1.165460963E1;1708004748.986;"2024-02-15 14:45:48.986 UTC+01:00"
