"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.684474690E-1;4.938040972E-1;7.541735470E-2;9.816226959E0;9.828928832E0
1.704441880E-1;4.985924959E-1;9.457096457E-2;9.811438560E0;9.824554177E0
1.724409070E-1;4.890156984E-1;9.457096457E-2;9.821015358E0;9.833637307E0
1.744376250E-1;4.938040972E-1;1.041477770E-1;9.811438560E0;9.824409187E0
1.764343440E-1;5.129576921E-1;8.499415964E-2;9.825803757E0;9.839551263E0
1.784310630E-1;5.033808947E-1;1.041477770E-1;9.816226959E0;9.829677045E0
1.804277820E-1;4.842272997E-1;9.935937077E-2;9.825803757E0;9.838229913E0
1.824245000E-1;4.985924959E-1;7.062894851E-2;9.830592155E0;9.843481348E0
1.844212190E-1;4.890156984E-1;8.978256583E-2;9.825803757E0;9.838374700E0
1.864179380E-1;5.129576921E-1;9.457096457E-2;9.821015358E0;9.834856985E0
1.884146570E-1;4.938040972E-1;8.020575345E-2;9.835380554E0;9.848095557E0
1.904113750E-1;4.938040972E-1;8.499415964E-2;9.840168953E0;9.852917919E0
1.924080940E-1;4.938040972E-1;8.020575345E-2;9.825803757E0;9.838531136E0
1.944048130E-1;4.938040972E-1;9.457096457E-2;9.821015358E0;9.833876591E0
1.964015320E-1;4.890156984E-1;7.541735470E-2;9.811438560E0;9.823907102E0
1.983982500E-1;4.842272997E-1;1.041477770E-1;9.811438560E0;9.823932485E0
2.003949690E-1;5.033808947E-1;9.457096457E-2;9.821015358E0;9.834362138E0
2.023916880E-1;4.938040972E-1;1.089361757E-1;9.816226959E0;9.829243170E0
2.043884070E-1;4.985924959E-1;8.020575345E-2;9.816226959E0;9.829208470E0
2.063851250E-1;5.033808947E-1;1.041477770E-1;9.825803757E0;9.839240751E0
2.083818440E-1;4.985924959E-1;8.499415964E-2;9.835380554E0;9.848376979E0
2.103786150E-1;4.938040972E-1;8.978256583E-2;9.797073364E0;9.809920994E0
2.123753860E-1;5.081692934E-1;1.089361757E-1;9.816226959E0;9.829975322E0
2.143721570E-1;4.985924959E-1;8.499415964E-2;9.825803757E0;9.838812832E0
2.163689270E-1;5.081692934E-1;8.020575345E-2;9.821015358E0;9.834480752E0
2.183656980E-1;4.985924959E-1;9.457096457E-2;9.830592155E0;9.843682252E0
2.203624690E-1;4.938040972E-1;9.935937077E-2;9.825803757E0;9.838705923E0
2.223592400E-1;4.842272997E-1;8.978256583E-2;9.816226959E0;9.828573076E0
2.243560110E-1;4.890156984E-1;9.457096457E-2;9.825803757E0;9.838419562E0
2.263527820E-1;4.985924959E-1;8.499415964E-2;9.821015358E0;9.834030768E0
2.283495520E-1;5.033808947E-1;9.935937077E-2;9.821015358E0;9.834409350E0
2.303463230E-1;4.938040972E-1;9.457096457E-2;9.811438560E0;9.824312331E0
