"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1708004687.511;"2024-02-15 14:44:47.511 UTC+01:00"
"PAUSE";1.306192708E1;1708004700.573;"2024-02-15 14:45:00.573 UTC+01:00"
