"Pos_1_1";"B_1_1";"Pos_1_2";"B_1_2";"Pos_1_3";"B_1_3";"Pos_05_1";"B_2_1";"Pos_05_2";"B_2_2";"Pos_05_3";"B_2_3"
0,2781;0,0017;0,1569;0,0025;0,2146;0,0029;0,2256;0,0013;0,2373;0,0011;0,3094;1,5978E-4
0,2792;0,0016;0,1571;0,0026;0,2154;0,0028;0,2266;0,0013;0,2379;0,0011;0,3106;1,5432E-4
0,2802;0,0016;0,1575;0,0026;0,2162;0,0028;0,2277;0,0013;0,2383;0,0010;0,3117;1,4680E-4
0,2812;0,0016;0,1579;0,0026;0,2168;0,0028;0,2289;0,0012;0,2389;0,0010;0,3128;1,4231E-4
0,2821;0,0015;0,1583;0,0026;0,2174;0,0027;0,2300;0,0012;0,2394;0,0010;0,3138;1,3870E-4
0,2829;0,0015;0,1588;0,0026;0,2180;0,0027;0,2311;0,0012;0,2401;0,0010;0,3147;1,3985E-4
0,2837;0,0015;0,1592;0,0027;0,2184;0,0027;0,2320;0,0012;0,2408;9,9149E-4;0,3156;1,3134E-4
0,2844;0,0015;0,1596;0,0027;0,2188;0,0027;0,2328;0,0012;0,2415;9,7792E-4;0,3165;1,3124E-4
0,2849;0,0014;0,1599;0,0027;0,2192;0,0027;0,2336;0,0011;0,2420;9,6431E-4;0,3175;1,2616E-4
0,2855;0,0014;0,1604;0,0027;0,2196;0,0026;0,2344;0,0011;0,2425;9,5744E-4;0,3185;1,2216E-4
0,2862;0,0014;0,1608;0,0027;0,2200;0,0026;0,2351;0,0011;0,2431;9,4517E-4;0,3195;1,1784E-4
0,2868;0,0014;0,1612;0,0027;0,2205;0,0026;0,2358;0,0011;0,2436;9,3596E-4;0,3204;1,1684E-4
0,2875;0,0014;0,1616;0,0028;0,2210;0,0026;0,2366;0,0011;0,2443;9,2108E-4;0,3214;1,1137E-4
0,2882;0,0013;0,1620;0,0028;0,2215;0,0026;0,2374;0,0011;0,2451;9,0821E-4;0,3224;1,0735E-4
0,2889;0,0013;0,1623;0,0028;0,2221;0,0025;0,2383;0,0010;0,2460;8,8933E-4;0,3234;1,0305E-4
0,2897;0,0013;0,1627;0,0028;0,2226;0,0025;0,2392;0,0010;0,2468;8,7438E-4;0,3245;9,8721E-5
0,2904;0,0013;0,1631;0,0028;0,2230;0,0025;0,2399;0,0010;0,2478;8,5905E-4;0,3256;9,0859E-5
0,2911;0,0013;0,1635;0,0028;0,2236;0,0025;0,2405;0,0010;0,2487;8,3909E-4;0,3268;9,3228E-5
0,2918;0,0012;0,1639;0,0029;0,2241;0,0024;0,2411;9,9047E-4;0,2498;8,1919E-4;0,3279;8,8235E-5
