"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
3.225026200E-2;-8.905999660E-1;9.357399940E0;-4.853160095E1;4.943349465E1
4.225026200E-2;-1.085799932E0;9.442799568E0;-4.826319885E1;4.919026112E1
5.225026200E-2;-1.195600033E0;9.503799438E0;-4.844619751E1;4.938406338E1
6.225026200E-2;-1.036999941E0;9.552599907E0;-4.859259796E1;4.953350493E1
7.225026200E-2;-1.036999941E0;9.552599907E0;-4.865359879E1;4.959334843E1
8.225026200E-2;-1.061399937E0;9.552599907E0;-4.858039856E1;4.952205427E1
9.225026200E-2;-1.085799932E0;9.528200150E0;-4.849499893E1;4.943410241E1
1.022502620E-1;-1.110199928E0;9.564800262E0;-4.844619751E1;4.939384578E1
1.122502620E-1;-1.146799922E0;9.564800262E0;-4.845840073E1;4.940665092E1
1.222502620E-1;-1.061399937E0;9.576999664E0;-4.860479736E1;4.955069948E1
1.322502620E-1;-1.049199939E0;9.528200150E0;-4.866579819E1;4.960088035E1
1.422502620E-1;-1.110199928E0;9.454999924E0;-4.866579819E1;4.958819901E1
1.522502620E-1;-1.134599924E0;9.394000053E0;-4.861700058E1;4.952925700E1
1.622502620E-1;-1.220000029E0;9.381799698E0;-4.865359879E1;4.956489928E1
1.722502620E-1;-1.195600033E0;9.406199455E0;-4.879999924E1;4.971263394E1
1.822502620E-1;-1.232200027E0;9.369600296E0;-4.893420029E1;4.983837562E1
1.922502620E-1;-1.293200016E0;9.406199455E0;-4.889759827E1;4.981088305E1
2.022502620E-1;-1.415199995E0;9.454999924E0;-4.890979767E1;4.983541033E1
2.122502620E-1;-1.476199985E0;9.479399681E0;-4.883659744E1;4.976998528E1
2.222502620E-1;-1.524999976E0;9.491600037E0;-4.882439804E1;4.976181207E1
2.322502620E-1;-1.500599980E0;9.540399551E0;-4.905619812E1;4.999781593E1
2.422502620E-1;-1.402999997E0;9.564800262E0;-4.919039917E1;5.013131939E1
2.522502620E-1;-1.366400003E0;9.552599907E0;-4.921479797E1;5.015192472E1
2.622502620E-1;-1.329800010E0;9.552599907E0;-4.921479797E1;5.015094089E1
2.722502620E-1;-1.183400035E0;9.528200150E0;-4.928799820E1;5.021447799E1
2.822502620E-1;-1.134599924E0;9.418399811E0;-4.933679962E1;5.024055502E1
2.922502620E-1;-1.122399926E0;9.430600166E0;-4.937339783E1;5.027850847E1
3.022502620E-1;-9.882000089E-1;9.418399811E0;-4.945879745E1;5.035727792E1
3.122502620E-1;-9.271999598E-1;9.430600166E0;-4.933679962E1;5.023858792E1
3.222502620E-1;-9.027999640E-1;9.442799568E0;-4.933679962E1;5.024043499E1
3.322502620E-1;-9.149999619E-1;9.467200279E0;-4.937339783E1;5.028118454E1
