"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1708004901.758;"2024-02-15 14:48:21.758 UTC+01:00"
"PAUSE";2.976368540E0;1708004904.735;"2024-02-15 14:48:24.735 UTC+01:00"
