"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
3.113334400E-2;-1.171200037E0;8.930399895E0;-4.926359940E1;5.008019546E1
4.113334400E-2;-1.354200006E0;8.967000008E0;-4.926359940E1;5.009134828E1
5.113334400E-2;-1.293200016E0;8.832799911E0;-4.923920059E1;5.004187842E1
6.113334400E-2;-1.463999987E0;8.710800171E0;-4.905619812E1;4.984507909E1
7.113334400E-2;-1.439599991E0;8.759599686E0;-4.903179932E1;4.982891108E1
8.113334400E-2;-1.439599991E0;8.722999573E0;-4.889759827E1;4.969042449E1
9.113334400E-2;-1.354200006E0;8.759599686E0;-4.890979767E1;4.970646590E1
1.011333440E-1;-1.342000008E0;8.735199928E0;-4.890979767E1;4.970184091E1
1.111333440E-1;-1.281000018E0;8.698599815E0;-4.888539886E1;4.966979789E1
1.211333440E-1;-1.195600033E0;8.637599945E0;-4.889759827E1;4.966903168E1
1.311333440E-1;-1.195600033E0;8.637599945E0;-4.889759827E1;4.966903168E1
1.411333440E-1;-1.024799943E0;8.661999702E0;-4.904399872E1;4.981359517E1
1.511333440E-1;-9.759999514E-1;8.625399590E0;-4.911719894E1;4.987834526E1
1.611333440E-1;-9.759999514E-1;8.637599945E0;-4.911719894E1;4.988045650E1
1.711333440E-1;-1.061399937E0;8.588799477E0;-4.910499954E1;4.986175916E1
1.811333440E-1;-1.134599924E0;8.625399590E0;-4.905619812E1;4.982163595E1
1.911333440E-1;-1.183400035E0;8.637599945E0;-4.910499954E1;4.987293403E1
2.011333440E-1;-1.183400035E0;8.625399590E0;-4.915379715E1;4.991887146E1
2.111333440E-1;-1.134599924E0;8.661999702E0;-4.921479797E1;4.998413644E1
2.211333440E-1;-1.207800031E0;8.674200058E0;-4.912939835E1;4.990389072E1
2.311333440E-1;-1.293200016E0;8.698599815E0;-4.897079849E1;4.975416676E1
2.411333440E-1;-1.329800010E0;8.722999573E0;-4.894639969E1;4.973539114E1
2.511333440E-1;-1.342000008E0;8.722999573E0;-4.884880066E1;4.963967175E1
2.611333440E-1;-1.354200006E0;8.686399460E0;-4.884880066E1;4.963358459E1
2.711333440E-1;-1.354200006E0;8.686399460E0;-4.859259796E1;4.938145370E1
2.811333440E-1;-1.439599991E0;8.710800171E0;-4.840959930E1;4.920812730E1
2.911333440E-1;-1.524999976E0;8.625399590E0;-4.822660065E1;4.901559092E1
3.011333440E-1;-1.524999976E0;8.637599945E0;-4.815340042E1;4.894572228E1
3.111333440E-1;-1.451799989E0;8.625399590E0;-4.834859848E1;4.913341242E1
3.211333440E-1;-1.390799999E0;8.649800301E0;-4.843399811E1;4.921997097E1
