"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
3.095360200E-2;-5.245999694E-1;9.064599991E0;-4.859259796E1;4.943361968E1
4.095360200E-2;-6.344000101E-1;9.003600121E0;-4.853160095E1;4.936378804E1
5.095360200E-2;-6.344000101E-1;9.088999748E0;-4.889759827E1;4.973919477E1
6.095360200E-2;-7.563999891E-1;9.052399635E0;-4.876339722E1;4.960228813E1
7.095360200E-2;-9.393999577E-1;9.076799393E0;-4.865359879E1;4.950195384E1
8.095360200E-2;-9.393999577E-1;9.064599991E0;-4.873899841E1;4.958366073E1
9.095360200E-2;-1.012599945E0;9.052399635E0;-4.876339722E1;4.960685644E1
1.009536020E-1;-1.097999930E0;9.064599991E0;-4.867799759E1;4.952696262E1
1.109536020E-1;-1.146799922E0;9.076799393E0;-4.871459961E1;4.956627535E1
1.209536020E-1;-1.220000029E0;9.076799393E0;-4.870240021E1;4.955603367E1
1.309536020E-1;-1.268800020E0;8.991399765E0;-4.862919998E1;4.946973028E1
1.409536020E-1;-1.268800020E0;8.979199409E0;-4.870240021E1;4.953947579E1
1.509536020E-1;-1.146799922E0;8.942600250E0;-4.881219864E1;4.963784831E1
1.609536020E-1;-1.097999930E0;8.979199409E0;-4.875119781E1;4.958337337E1
1.709536020E-1;-1.049199939E0;8.881599426E0;-4.870240021E1;4.951673873E1
1.809536020E-1;-9.759999514E-1;8.869400024E0;-4.876339722E1;4.957305458E1
1.909536020E-1;-1.036999941E0;8.796199799E0;-4.867799759E1;4.947722657E1
2.009536020E-1;-1.049199939E0;8.808400154E0;-4.862919998E1;4.943164801E1
2.109536020E-1;-1.073599935E0;8.857199669E0;-4.850719833E1;4.932089712E1
2.209536020E-1;-1.061399937E0;8.893799782E0;-4.851939774E1;4.933921565E1
2.309536020E-1;-1.207800031E0;8.845000267E0;-4.840959930E1;4.922582773E1
2.409536020E-1;-1.329800010E0;8.771800041E0;-4.844619751E1;4.925187202E1
2.509536020E-1;-1.354200006E0;8.845000267E0;-4.837299728E1;4.919364546E1
2.609536020E-1;-1.402999997E0;8.832799911E0;-4.834859848E1;4.916882893E1
2.709536020E-1;-1.354200006E0;8.832799911E0;-4.834859848E1;4.916746065E1
2.809536020E-1;-1.329800010E0;8.808400154E0;-4.837299728E1;4.918641223E1
2.909536020E-1;-1.342000008E0;8.820599556E0;-4.829980087E1;4.911694926E1
3.009536020E-1;-1.366400003E0;8.869400024E0;-4.810459900E1;4.893450470E1
3.109536020E-1;-1.317600012E0;8.893799782E0;-4.800699997E1;4.884166040E1
3.209536020E-1;-1.293200016E0;8.906000137E0;-4.793379974E1;4.877128625E1
3.309536020E-1;-1.232200027E0;8.906000137E0;-4.804359818E1;4.887762761E1
3.409536020E-1;-1.207800031E0;8.869400024E0;-4.805579758E1;4.888235590E1
3.509536020E-1;-1.195600033E0;8.869400024E0;-4.806800079E1;4.889405298E1
3.609536020E-1;-1.183400035E0;8.857199669E0;-4.808020020E1;4.890353844E1
3.709536020E-1;-1.073599935E0;8.857199669E0;-4.829980087E1;4.911693564E1
3.809536020E-1;-9.882000089E-1;8.796199799E0;-4.847060013E1;4.927219040E1
3.909536020E-1;-8.905999660E-1;8.783999443E0;-4.858039856E1;4.937617785E1
4.009536020E-1;-8.417999744E-1;8.771800041E0;-4.871459961E1;4.950520496E1
4.109536020E-1;-8.295999765E-1;8.747400284E0;-4.882439804E1;4.960874008E1
4.209536020E-1;-7.929999828E-1;8.771800041E0;-4.879999924E1;4.958843868E1
4.309536020E-1;-8.661999702E-1;8.747400284E0;-4.872679901E1;4.951331393E1
4.409536020E-1;-9.515999556E-1;8.771800041E0;-4.876339722E1;4.955521089E1
4.509536020E-1;-1.158999920E0;8.759599686E0;-4.856819916E1;4.936541134E1
4.609536020E-1;-1.268800020E0;8.735199928E0;-4.845840073E1;4.925576283E1
4.709536020E-1;-1.317600012E0;8.796199799E0;-4.840959930E1;4.921989949E1
4.809536020E-1;-1.305400014E0;8.832799911E0;-4.828759766E1;4.910615553E1
4.909536020E-1;-1.256600022E0;8.906000137E0;-4.825099945E1;4.908212332E1
5.009536020E-1;-1.366400003E0;8.869400024E0;-4.820219803E1;4.903045177E1
5.109536020E-1;-1.354200006E0;8.906000137E0;-4.821439743E1;4.904873919E1
5.209536020E-1;-1.329800010E0;8.869400024E0;-4.815340042E1;4.898147198E1
5.309536020E-1;-1.195600033E0;8.906000137E0;-4.816559982E1;4.899664585E1
5.409536020E-1;-1.097999930E0;8.893799782E0;-4.837299728E1;4.919605822E1
5.509536020E-1;-1.110199928E0;8.857199669E0;-4.838520050E1;4.920172921E1
5.609536020E-1;-1.220000029E0;8.808400154E0;-4.836079788E1;4.917156785E1
5.709536020E-1;-1.207800031E0;8.735199928E0;-4.833639908E1;4.913420371E1
5.809536020E-1;-1.134599924E0;8.722999573E0;-4.842179871E1;4.921431325E1
5.909536020E-1;-1.085799932E0;8.710800171E0;-4.843399811E1;4.922305531E1
6.009536020E-1;-9.759999514E-1;8.747400284E0;-4.845840073E1;4.925125571E1
6.109536020E-1;-9.149999619E-1;8.759599686E0;-4.855599976E1;4.934828187E1
6.209536020E-1;-9.393999577E-1;8.771800041E0;-4.849499893E1;4.929089033E1
6.309536020E-1;-8.539999723E-1;8.759599686E0;-4.859259796E1;4.938320037E1
6.409536020E-1;-8.173999786E-1;8.771800041E0;-4.858039856E1;4.937274291E1
6.509536020E-1;-9.759999514E-1;8.759599686E0;-4.848279953E1;4.927742904E1
6.609536020E-1;-1.000399947E0;8.808400154E0;-4.839739990E1;4.920261203E1
6.709536020E-1;-9.515999556E-1;8.857199669E0;-4.845840073E1;4.927039810E1
6.809536020E-1;-1.049199939E0;8.857199669E0;-4.839739990E1;4.921238791E1
6.909536020E-1;-1.207800031E0;8.783999443E0;-4.834859848E1;4.915490212E1
7.009536020E-1;-1.268800020E0;8.735199928E0;-4.829980087E1;4.909973865E1
7.109536020E-1;-1.342000008E0;8.735199928E0;-4.818999863E1;4.899367969E1
7.209536020E-1;-1.366400003E0;8.698599815E0;-4.818999863E1;4.898784191E1
7.309536020E-1;-1.329800010E0;8.710800171E0;-4.811679840E1;4.891699803E1
7.409536020E-1;-1.305400014E0;8.710800171E0;-4.812899780E1;4.892834085E1
7.509536020E-1;-1.451799989E0;8.661999702E0;-4.794599915E1;4.874378726E1
7.609536020E-1;-1.402999997E0;8.625399590E0;-4.797039795E1;4.875987086E1
7.709536020E-1;-1.305400014E0;8.686399460E0;-4.801919937E1;4.881599239E1
7.809536020E-1;-1.281000018E0;8.674200058E0;-4.803139877E1;4.882517768E1
7.909536020E-1;-1.207800031E0;8.710800171E0;-4.820219803E1;4.899784399E1
8.009536020E-1;-1.195600033E0;8.759599686E0;-4.822660065E1;4.903024634E1
8.109536020E-1;-1.256600022E0;8.759599686E0;-4.823880005E1;4.904377086E1
8.209536020E-1;-1.256600022E0;8.771800041E0;-4.821439743E1;4.902195058E1
8.309536020E-1;-1.183400035E0;8.783999443E0;-4.838520050E1;4.919031113E1
8.409536020E-1;-1.256600022E0;8.735199928E0;-4.840959930E1;4.920743913E1
8.509536020E-1;-1.293200016E0;8.686399460E0;-4.838520050E1;4.917574127E1
8.609536020E-1;-1.354200006E0;8.686399460E0;-4.833639908E1;4.912936870E1
8.709536020E-1;-1.537199974E0;8.661999702E0;-4.816559982E1;4.896241649E1
8.809536020E-1;-1.561599970E0;8.710800171E0;-4.812899780E1;4.893584641E1
8.909536020E-1;-1.524999976E0;8.747400284E0;-4.808020020E1;4.889323356E1
9.009536020E-1;-1.561599970E0;8.747400284E0;-4.808020020E1;4.889438881E1
9.109536020E-1;-1.573799968E0;8.722999573E0;-4.805579758E1;4.886642251E1
9.209536020E-1;-1.488399982E0;8.722999573E0;-4.812899780E1;4.893573833E1
9.309536020E-1;-1.427399993E0;8.735199928E0;-4.816559982E1;4.897209608E1
9.409536020E-1;-1.342000008E0;8.759599686E0;-4.821439743E1;4.902203250E1
9.509536020E-1;-1.195600033E0;8.783999443E0;-4.825099945E1;4.905860835E1
9.609536020E-1;-1.195600033E0;8.747400284E0;-4.820219803E1;4.900406479E1
9.709536020E-1;-1.122399926E0;8.661999702E0;-4.829980087E1;4.908320267E1
9.809536020E-1;-1.061399937E0;8.625399590E0;-4.842179871E1;4.919547416E1
9.909536020E-1;-1.049199939E0;8.674200058E0;-4.833639908E1;4.911975207E1
1.000953602E0;-1.097999930E0;8.710800171E0;-4.815340042E1;4.894725340E1
1.010953602E0;-1.207800031E0;8.722999573E0;-4.801919937E1;4.882000625E1
1.020953602E0;-1.244400024E0;8.747400284E0;-4.797039795E1;4.877729618E1
1.030953602E0;-1.366400003E0;8.735199928E0;-4.792160034E1;4.873038627E1
1.040953602E0;-1.342000008E0;8.735199928E0;-4.792160034E1;4.872970820E1
1.050953602E0;-1.402999997E0;8.820599556E0;-4.795819855E1;4.878278583E1
1.060953602E0;-1.378600001E0;8.857199669E0;-4.788499832E1;4.871676907E1
1.070953602E0;-1.415199995E0;8.857199669E0;-4.797039795E1;4.880176079E1
1.080953602E0;-1.451799989E0;8.820599556E0;-4.799480057E1;4.882019645E1
1.090953602E0;-1.476199985E0;8.832799911E0;-4.790940094E1;4.873918566E1
1.100953602E0;-1.549399972E0;8.783999443E0;-4.784840012E1;4.867266872E1
