"Time (s)";"Magnetic Field x (µT)";"Magnetic Field y (µT)";"Magnetic Field z (µT)";"Absolute field (µT)"
3.208980000E-2;-8.783999681E-1;9.015799522E0;-4.784840012E1;4.869831230E1
4.208980000E-2;-1.036999941E0;8.808400154E0;-4.799480057E1;4.880741915E1
5.208980000E-2;-9.515999556E-1;8.674200058E0;-4.828759766E1;4.906973993E1
6.208980000E-2;-8.783999681E-1;8.710800171E0;-4.866579819E1;4.944703772E1
7.208980000E-2;-7.807999849E-1;8.698599815E0;-4.873899841E1;4.951530323E1
8.208980000E-2;-7.807999849E-1;8.735199928E0;-4.884880066E1;4.962981656E1
9.208980000E-2;-7.929999828E-1;8.722999573E0;-4.898299789E1;4.975996034E1
1.020898000E-1;-8.417999744E-1;8.661999702E0;-4.900740051E1;4.977413154E1
1.120898000E-1;-7.563999891E-1;8.600999832E0;-4.915379715E1;4.990636345E1
1.220898000E-1;-7.319999933E-1;8.588799477E0;-4.911719894E1;4.986785069E1
1.320898000E-1;-7.807999849E-1;8.600999832E0;-4.897079849E1;4.972651156E1
1.420898000E-1;-8.783999681E-1;8.600999832E0;-4.887319946E1;4.963203008E1
1.520898000E-1;-1.061399937E0;8.637599945E0;-4.883659744E1;4.960592659E1
1.620898000E-1;-1.146799922E0;8.613200188E0;-4.871459961E1;4.948347788E1
1.720898000E-1;-1.281000018E0;8.564399719E0;-4.858039856E1;4.934617541E1
1.820898000E-1;-1.305400014E0;8.600999832E0;-4.854380035E1;4.931715543E1
1.920898000E-1;-1.524999976E0;8.661999702E0;-4.851939774E1;4.931011884E1
2.020898000E-1;-1.634799957E0;8.686399460E0;-4.858039856E1;4.937794275E1
2.120898000E-1;-1.732399940E0;8.698599815E0;-4.876339722E1;4.956345182E1
2.220898000E-1;-1.695799947E0;8.698599815E0;-4.866579819E1;4.946616308E1
2.320898000E-1;-1.585999966E0;8.613200188E0;-4.877560043E1;4.955564358E1
2.420898000E-1;-1.476199985E0;8.661999702E0;-4.890979767E1;4.969283362E1
2.520898000E-1;-1.329800010E0;8.698599815E0;-4.894639969E1;4.973111752E1
2.620898000E-1;-1.244400024E0;8.698599815E0;-4.888539886E1;4.966886744E1
2.720898000E-1;-1.134599924E0;8.637599945E0;-4.872679901E1;4.949945850E1
2.820898000E-1;-1.073599935E0;8.600999832E0;-4.871459961E1;4.947971332E1
2.920898000E-1;-1.000399947E0;8.552199364E0;-4.870240021E1;4.945770617E1
3.020898000E-1;-1.097999930E0;8.503399849E0;-4.879999924E1;4.954748569E1
3.120898000E-1;-1.183400035E0;8.527799606E0;-4.870240021E1;4.945753317E1
3.220898000E-1;-1.268800020E0;8.405799866E0;-4.860479736E1;4.934261497E1
3.320898000E-1;-1.305400014E0;8.369199753E0;-4.869020081E1;4.942148549E1
3.420898000E-1;-1.342000008E0;8.369199753E0;-4.870240021E1;4.943448447E1
3.520898000E-1;-1.342000008E0;8.356999397E0;-4.888539886E1;4.961272644E1
3.620898000E-1;-1.293200016E0;8.356999397E0;-4.887319946E1;4.959940958E1
3.720898000E-1;-1.305400014E0;8.369199753E0;-4.879999924E1;4.952966282E1
3.820898000E-1;-1.220000029E0;8.356999397E0;-4.875119781E1;4.947733953E1
3.920898000E-1;-1.207800031E0;8.344799995E0;-4.867799759E1;4.940285333E1
4.020898000E-1;-1.183400035E0;8.430199623E0;-4.860479736E1;4.934465552E1
4.120898000E-1;-1.329800010E0;8.479000092E0;-4.850719833E1;4.926063439E1
4.220898000E-1;-1.439599991E0;8.479000092E0;-4.839739990E1;4.915561217E1
4.320898000E-1;-1.488399982E0;8.515600204E0;-4.831200027E1;4.907932510E1
4.420898000E-1;-1.561599970E0;8.503399849E0;-4.822660065E1;4.899542237E1
4.520898000E-1;-1.585999966E0;8.564399719E0;-4.821439743E1;4.899482073E1
4.620898000E-1;-1.646999955E0;8.625399590E0;-4.827539825E1;4.906754736E1
4.720898000E-1;-1.646999955E0;8.649800301E0;-4.826319885E1;4.905984119E1
4.820898000E-1;-1.671399951E0;8.637599945E0;-4.842179871E1;4.921455375E1
4.920898000E-1;-1.598199964E0;8.649800301E0;-4.844619751E1;4.923827111E1
5.020898000E-1;-1.500599980E0;8.698599815E0;-4.876339722E1;4.955589114E1
5.120898000E-1;-1.439599991E0;8.625399590E0;-4.892200089E1;4.969740574E1
5.220898000E-1;-1.451799989E0;8.686399460E0;-4.904399872E1;4.982845642E1
5.320898000E-1;-1.476199985E0;8.686399460E0;-4.909280014E1;4.987720649E1
5.420898000E-1;-1.451799989E0;8.710800171E0;-4.903179932E1;4.982070962E1
5.520898000E-1;-1.427399993E0;8.735199928E0;-4.910499954E1;4.989631418E1
5.620898000E-1;-1.488399982E0;8.771800041E0;-4.899519730E1;4.979647747E1
5.720898000E-1;-1.500599980E0;8.771800041E0;-4.892200089E1;4.972482727E1
5.820898000E-1;-1.537199974E0;8.783999443E0;-4.872679901E1;4.953607344E1
5.920898000E-1;-1.561599970E0;8.832799911E0;-4.855599976E1;4.937754612E1
6.020898000E-1;-1.549399972E0;8.808400154E0;-4.853160095E1;4.934880793E1
6.120898000E-1;-1.488399982E0;8.771800041E0;-4.851939774E1;4.932840730E1
6.220898000E-1;-1.476199985E0;8.771800041E0;-4.847060013E1;4.928004382E1
6.320898000E-1;-1.537199974E0;8.747400284E0;-4.847060013E1;4.927757170E1
6.420898000E-1;-1.488399982E0;8.686399460E0;-4.851939774E1;4.931329260E1
6.520898000E-1;-1.463999987E0;8.637599945E0;-4.847060013E1;4.925596924E1
6.620898000E-1;-1.366400003E0;8.625399590E0;-4.860479736E1;4.938310332E1
6.720898000E-1;-1.244400024E0;8.637599945E0;-4.879999924E1;4.957415244E1
6.820898000E-1;-1.244400024E0;8.515600204E0;-4.882439804E1;4.957706952E1
6.920898000E-1;-1.195600033E0;8.527799606E0;-4.873899841E1;4.949386620E1
7.020898000E-1;-1.158999920E0;8.405799866E0;-4.876339722E1;4.949615804E1
7.120898000E-1;-1.085799932E0;8.418000221E0;-4.873899841E1;4.947253436E1
7.220898000E-1;-1.110199928E0;8.418000221E0;-4.864139938E1;4.937692787E1
7.320898000E-1;-1.158999920E0;8.430199623E0;-4.866579819E1;4.940416440E1
7.420898000E-1;-1.354200006E0;8.454599380E0;-4.849499893E1;4.924509143E1
