"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1708004805.805;"2024-02-15 14:46:45.805 UTC+01:00"
"PAUSE";1.121882088E1;1708004817.024;"2024-02-15 14:46:57.024 UTC+01:00"
