"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1708004657.992;"2024-02-15 14:44:17.992 UTC+01:00"
"PAUSE";1.121495026E1;1708004669.207;"2024-02-15 14:44:29.207 UTC+01:00"
